,Origin,Date,mta_ridership,uber_ridership
216,Bloomingdale,2015-01,329487.0,513.0
217,Bloomingdale,2015-02,337484.0,703.0
218,Bloomingdale,2015-03,409250.0,696.0
219,Bloomingdale,2015-04,411319.0,754.0
220,Bloomingdale,2015-05,394926.0,828.0
221,Bloomingdale,2015-06,419728.0,845.0
222,Bloomingdale,2015-07,407248.0,1023.0
223,Bloomingdale,2015-08,346663.0,942.0
224,Bloomingdale,2015-09,393231.0,1158.0
225,Bloomingdale,2015-10,423967.0,1349.0
226,Bloomingdale,2015-11,345510.0,1288.0
227,Bloomingdale,2015-12,352303.0,1332.0
228,Bloomingdale,2016-01,334527.0,1240.0
229,Bloomingdale,2016-02,338613.0,1450.0
230,Bloomingdale,2016-03,407737.0,1575.0
231,Bloomingdale,2016-04,394549.0,1465.0
232,Bloomingdale,2016-05,397970.0,1610.0
233,Bloomingdale,2016-06,417178.0,1725.0
234,Bloomingdale,2016-07,355142.0,1943.0
235,Bloomingdale,2016-08,370879.0,2446.0
236,Bloomingdale,2016-09,395413.0,2189.0
237,Bloomingdale,2016-10,388167.0,2194.0
238,Bloomingdale,2016-11,366331.0,2217.0
239,Bloomingdale,2016-12,334017.0,2298.0
240,Bloomingdale,2017-01,339465.0,2408.0
241,Bloomingdale,2017-02,316820.0,2363.0
242,Bloomingdale,2017-03,395023.0,2661.0
243,Bloomingdale,2017-04,361517.0,2393.0
244,Bloomingdale,2017-05,419529.0,2808.0
245,Bloomingdale,2017-06,393434.0,2368.0
246,Bloomingdale,2017-07,339647.0,2187.0
247,Bloomingdale,2017-08,362085.0,2382.0
248,Bloomingdale,2017-09,360040.0,2154.0
249,Bloomingdale,2017-10,405241.0,2439.0
250,Bloomingdale,2017-11,353593.0,2696.0
251,Bloomingdale,2017-12,301254.0,2530.0
252,Borough Park,2015-01,691821.0,267.0
253,Borough Park,2015-02,685611.0,401.0
254,Borough Park,2015-03,853175.0,422.0
255,Borough Park,2015-04,841240.0,407.0
256,Borough Park,2015-05,806606.0,466.0
257,Borough Park,2015-06,821071.0,649.0
258,Borough Park,2015-07,765285.0,563.0
259,Borough Park,2015-08,689012.0,676.0
260,Borough Park,2015-09,769048.0,841.0
261,Borough Park,2015-10,848913.0,1028.0
262,Borough Park,2015-11,722429.0,1147.0
263,Borough Park,2015-12,759958.0,1338.0
264,Borough Park,2016-01,637065.0,1778.0
265,Borough Park,2016-02,586471.0,2063.0
266,Borough Park,2016-03,692360.0,2573.0
267,Borough Park,2016-04,611388.0,1944.0
268,Borough Park,2016-05,651206.0,2666.0
269,Borough Park,2016-06,622803.0,2532.0
270,Borough Park,2016-07,504650.0,2094.0
271,Borough Park,2016-08,558081.0,2338.0
272,Borough Park,2016-09,611481.0,3086.0
273,Borough Park,2016-10,575759.0,2258.0
274,Borough Park,2016-11,580035.0,4456.0
275,Borough Park,2016-12,539692.0,5486.0
276,Borough Park,2017-01,529186.0,5517.0
277,Borough Park,2017-02,500953.0,5931.0
278,Borough Park,2017-03,616469.0,8089.0
279,Borough Park,2017-04,523211.0,5188.0
280,Borough Park,2017-05,655316.0,7810.0
281,Borough Park,2017-06,638801.0,7688.0
282,Borough Park,2017-07,550934.0,5768.0
283,Borough Park,2017-08,599816.0,6742.0
284,Borough Park,2017-09,634302.0,7509.0
285,Borough Park,2017-10,705939.0,7721.0
286,Borough Park,2017-11,645123.0,10288.0
287,Borough Park,2017-12,586558.0,10371.0
288,Briarwood/Jamaica Hills,2015-01,944560.0,197.0
289,Briarwood/Jamaica Hills,2015-02,951128.0,392.0
290,Briarwood/Jamaica Hills,2015-03,1129644.0,420.0
291,Briarwood/Jamaica Hills,2015-04,1182151.0,407.0
292,Briarwood/Jamaica Hills,2015-05,1139963.0,458.0
293,Briarwood/Jamaica Hills,2015-06,1189097.0,485.0
294,Briarwood/Jamaica Hills,2015-07,1167008.0,599.0
295,Briarwood/Jamaica Hills,2015-08,1019307.0,587.0
296,Briarwood/Jamaica Hills,2015-09,1135051.0,765.0
297,Briarwood/Jamaica Hills,2015-10,1216137.0,841.0
298,Briarwood/Jamaica Hills,2015-11,1024422.0,774.0
299,Briarwood/Jamaica Hills,2015-12,1068687.0,838.0
300,Briarwood/Jamaica Hills,2016-01,974300.0,944.0
301,Briarwood/Jamaica Hills,2016-02,946379.0,1180.0
302,Briarwood/Jamaica Hills,2016-03,1221206.0,1501.0
303,Briarwood/Jamaica Hills,2016-04,1112427.0,1462.0
304,Briarwood/Jamaica Hills,2016-05,1160462.0,1481.0
305,Briarwood/Jamaica Hills,2016-06,1147745.0,1429.0
306,Briarwood/Jamaica Hills,2016-07,1020778.0,1335.0
307,Briarwood/Jamaica Hills,2016-08,1131903.0,1686.0
308,Briarwood/Jamaica Hills,2016-09,1161699.0,1643.0
309,Briarwood/Jamaica Hills,2016-10,1110553.0,1660.0
310,Briarwood/Jamaica Hills,2016-11,1062388.0,1769.0
311,Briarwood/Jamaica Hills,2016-12,1009379.0,1817.0
312,Briarwood/Jamaica Hills,2017-01,977100.0,1977.0
